Time (1/10 s),MAE without DDM++,MED without DDM++,MAE with DDM++,MED with DDM++,Density with DDM++,Density before DDM++
0,2.027622828963085,0.12935817871093747,1.6338151586209815,0.2804949639892582,4.135304253196699,0.0997551464586923
1,1.6677383431721942,0.29031581268310624,1.661317492259146,0.310042778015136,4.085528827796869,0.22909507445589922
2,1.8759608751514985,0.22306562805175822,1.9191925939808419,0.25651480102539104,4.018981212473368,0.24210730195622698
3,1.5312982702129456,0.1776759994506829,1.5231071746009288,0.19076794937133768,3.121708321363593,0.25854639471416263
4,0.826568156434193,0.21703545349121178,0.84496122780562,0.23171479949951213,1.8995275286857585,0.19284543438434096
5,1.4430568484637654,0.2370382095336918,1.3823412888086872,0.2663013188171388,4.0763723150358,0.26730310262529833
6,1.4859929838906434,0.3100620056152348,1.34169202958871,0.3944278961181631,9.555345316934721,0.43519394512771997
7,1.6256651138494884,0.38888414154052775,1.6036650718022611,0.5124843658447258,6.881661153987505,0.5237045203969128
8,1.3135926307393118,0.23170252761840793,1.5060212886040472,0.28784920089721666,3.753443526170799,0.6973140495867769
9,1.1421614897770755,0.4025608430480956,1.5164449112270624,0.6541827911376963,10.136778115501519,1.2386018237082066
10,1.9916422344386657,0.3753238540649413,2.4845173700124303,0.7647049026489263,6.996235528091484,1.5981248668229278
11,1.9530661439213695,0.3099158477783206,2.4778965942030684,0.432105254974366,3.3511445345999076,1.9262484332739627
12,2.4136343350499274,0.3536840177917484,2.450511182562934,0.47828284912109353,3.9445032041311516,2.333105207490823
13,2.828680362048834,0.7119754211425784,2.641034919610109,1.0283566650390625,12.051312227845122,3.0952100741438153
14,2.582213085270473,0.7409145300292974,2.0282496778625863,0.469917501373291,20.241401409955138,3.6904507583849604
15,2.695902596984295,0.6106293785858155,2.474707813243954,0.20660439712524425,22.343451298549912,3.562269781321397
16,2.846130633671153,0.41856114578247094,3.0148261658297666,0.34917532051086386,26.229303602629173,4.667609618104668
17,3.5396736428579723,0.5720002563476569,4.333376112672302,0.6968309661865248,19.139876516925696,3.560783478816266
18,3.651056231591091,0.9087464965820313,3.5861792852819736,0.9548233428955086,5.396132252027448,0.4990642545227698
19,2.784775653377649,0.5391712310791013,2.649439764623019,0.6755258361816416,5.098435133770822,0.47450782433114586
20,2.6614086216402204,0.5729894287109367,2.3955552709283183,0.6244211387634273,4.308975377283558,0.46664019062748213
21,2.25363631593673,0.5211878067016604,2.026387246256124,0.5383665161132818,3.5204380989634263,0.4498337570897712
22,1.8142400991101162,0.6379617980957022,1.5824916440935999,0.6806172836303706,6.380107941403239,0.4336931380107941
23,2.581071743595996,0.5075139648437492,2.2293893528147612,0.65095929107666,2.6006310354718427,0.38244574051056507
24,2.1411564875479594,0.6809936462402355,1.8553336353864172,0.7615941970825189,4.346228062115225,0.4226775705228338
25,2.6867565361176013,0.659408279418944,2.1529966499618824,0.6752525268554699,6.8359375,0.6747159090909091
26,3.41292424295733,0.8552872619628893,2.8739719145489193,0.8659349227905278,9.788203527128513,0.995696565690659
27,3.4197167885705295,0.7705652313232427,2.9473889843293164,0.8363666671752927,9.13717886572952,0.91291000161577
28,3.5799111021525487,0.6266869369506836,3.5698324601159075,0.6308459106445312,8.467487373737374,0.9864267676767676
29,3.783071109670529,1.216817488098144,3.0188128038711537,0.9797480712890616,9.92812574046284,0.9872837848511177
30,3.9640031571544547,1.8056104858398427,3.6250383401795165,1.344232388305663,8.90573550807872,1.2175511141741326
31,3.7574191153926426,2.051851995849608,3.450626768006202,1.7571627960205074,9.105548235983019,1.244327331283853
32,4.097559217674632,1.5229505401611334,3.802295407901215,1.6205045806884772,9.570674654114962,1.4263300527742118
33,3.724453692399291,1.338155741882325,3.121806843663497,1.2217445373535156,10.585998506145176,1.473484076865621
34,3.693314587609338,1.8184862426757817,2.9038510563559847,1.3573110664367674,10.095780481491069,1.2296142894123738
35,3.571866674157155,1.3826011901855466,3.024215587950907,1.3158516174316404,9.82771629778672,1.2072434607645874
36,2.952495409176673,0.8702881713867185,2.8927723109079064,1.3723340148925782,10.556769203518924,1.0568577670189527
37,3.353199200747759,1.0661624145507815,2.8738173439830814,1.2338104248046875,9.78204010462075,1.005521650682941
38,3.1971464354209065,0.8124298339843747,2.7652309098334977,1.2486755912780767,10.544951590594744,0.9958506224066389
39,3.394466017717349,0.9040620239257819,3.0612992185208703,1.337218249511718,10.867522705919198,1.237081114938929
40,2.5575073981392156,0.8651316253662102,3.6641627029178263,2.179218440246582,11.765892019962696,1.3510107375107123
41,3.1817545915790255,1.0003806961059567,4.507630722846953,3.8335638229370126,12.527604898614737,1.144348524392692
42,3.0834248829057147,0.7290783294677752,2.6401376542508133,1.4185344787597653,14.043918085368862,0.7599309153713298
43,2.9409174896213375,0.732925451660158,4.653987690648417,4.392267567138672,13.591425215348474,0.8467110415035238
44,2.469212090822605,0.7589835144042958,3.2150433774862135,1.3401300018310547,14.671179883945843,0.9671179883945842
45,1.8927057075968945,0.41904190979003886,4.034105042571105,2.37380781402588,14.870169796150027,0.9837771366409686
